[10010, 6]
[1001, 1]
[1001, 10]
[10011, 13]
[10011, 16]
[10011, 19]
[1001, 12]
[1001, 13]
[1001, 14]
[1001, 15]
[1001, 16]
[10011, 6]
[1001, 18]
[1001, 19]
[1001, 2]
[1001, 20]
[1001, 21]
[10012, 18]
[1001, 22]
[10012, 23]
[1001, 23]
[1001, 24]
[1001, 25]
[1001, 3]
[10013, 15]
[10013, 20]
[10013, 21]
[1001, 4]
[10014, 10]
[10014, 12]
[10014, 18]
[10014, 9]
[1001, 5]
[10015, 14]
[10015, 15]
[10015, 22]
[10015, 23]
[1001, 6]
[1001, 9]
[1002, 1]
[1002, 12]
[1002, 16]
[1003, 1]
[1003, 18]
[1004, 13]
[1004, 16]
[1004, 2]
[1004, 25]
[1005, 10]
[1005, 13]
[1005, 14]
[1005, 15]
[1005, 16]
[1005, 19]
[1005, 22]
[1005, 24]
[1005, 25]
[1005, 3]
[1005, 5]
[1006, 13]
[1006, 14]
[1006, 16]
[1006, 19]
[1006, 21]
[1006, 22]
[1006, 23]
[1006, 3]
[1007, 13]
[1007, 14]
[1007, 24]
[1007, 4]
[1008, 15]
[1008, 4]
[1008, 5]
[1009, 12]
[1009, 13]
[1009, 18]
[1009, 19]
[1009, 20]
[1009, 23]
[1009, 6]
[11, 1003]
[11, 1009]
[17, 10014]
[17, 1004]
[17, 1006]
[17, 1007]
[17, 1009]
[7, 10010]
[7, 1003]
[7, 1009]
[8, 10010]
[8, 10012]
[8, 10013]
[8, 1009]
