[10010, 4]
[1001, 1]
[10011, 13]
[1001, 12]
[1001, 20]
[10012, 6]
[10012, 7]
[10013, 10]
[10013, 7]
[10014, 10]
[10014, 7]
[10015, 12]
[10015, 8]
[10016, 10]
[10016, 8]
[10017, 12]
[10017, 14]
[10017, 20]
[10017, 9]
[1001, 8]
[10018, 12]
[10018, 13]
[10018, 20]
[10019, 13]
[10020, 13]
[10020, 14]
[1002, 1]
[10021, 16]
[1002, 12]
[1002, 14]
[10022, 16]
[10023, 16]
[10024, 16]
[1002, 9]
[1003, 1]
[1003, 16]
[1003, 8]
[1004, 1]
[1004, 10]
[1004, 12]
[1004, 13]
[1004, 14]
[1004, 16]
[1004, 20]
[1004, 4]
[1004, 6]
[1004, 7]
[1004, 8]
[1004, 9]
[1005, 1]
[1005, 10]
[1005, 12]
[1005, 13]
[1005, 14]
[1005, 16]
[1005, 20]
[1005, 7]
[1005, 9]
[1006, 10]
[1006, 13]
[1006, 14]
[1006, 16]
[1006, 6]
[1006, 7]
[1007, 13]
[1007, 8]
[1008, 16]
[1008, 8]
[1009, 13]
[1009, 4]
[11, 10015]
[11, 10017]
[11, 10018]
[11, 1002]
[11, 1005]
[11, 1008]
[15, 1002]
[15, 1005]
[15, 1006]
[17, 10010]
[17, 1006]
[17, 1009]
[18, 10018]
[18, 10021]
[18, 10022]
[18, 10023]
[18, 10024]
[19, 10019]
[19, 10021]
[19, 1006]
[2, 1001]
[2, 1005]
[2, 1006]
[2, 1007]
[2, 1008]
[3, 10010]
[3, 1009]
[5, 10011]
[5, 1006]
