[11, 13]
[11, 14, 12]
[11, 14, 15]
[12, 16, 14]
[14, 38, 15]
[14, 38, 16]
[15, 20, 17]
[15, 20, 38]
[16, 40, 38]
[17, 19, 18]
[17, 19, 20]
[18, 8, 19]
[19, 20, 36]
[19, 33, 36]
[19, 33, 8]
[20, 39, 36]
[20, 39, 38]
[21, 22, 23]
[21, 22, 24]
[2, 1, 3]
[22, 47, 23]
[22, 47, 46]
[23, 29, 30]
[25, 26, 27]
[26, 28, 30]
[26, 45, 27]
[26, 45, 30]
[28, 29, 30]
[30, 44, 45]
[32, 3, 31]
[33, 34, 37]
[33, 34, 8]
[33, 35, 36]
[33, 35, 37]
[34, 41, 42]
[34, 42, 8]
[35, 49, 36]
[36, 39, 49]
[37, 43]
[41, 44, 42]
[41, 44, 43]
[44, 45, 42]
[45, 42, 27]
[46, 48]
[5, 1, 3]
[5, 1, 4]
[5, 27, 31]
[5, 31, 3]
[5, 42, 27]
[5, 6, 4]
[5, 6, 8]
[5, 8, 42]
[7, 6, 10]
[7, 6, 4]
[9, 13, 10]
[9, 17, 13]
[9, 17, 18]
[9, 18, 8]
[9, 6, 10]
[9, 6, 8]
