[11, 12, 13, 14, 15]
[16, 30, 31, 35, 53]
[27, 28, 62, 63, 64]
[28, 36, 37, 44, 46]
[28, 36, 37, 46, 65]
[28, 36, 42, 44, 46]
[28, 42, 44, 46, 67]
[28, 43, 45, 46, 67]
[28, 43, 45, 46, 68]
[28, 43, 45, 67, 68]
[28, 43, 46, 67, 68]
[28, 45, 46, 66, 67]
[28, 45, 46, 66, 68]
[28, 45, 46, 67, 68]
[28, 45, 66, 67, 68]
[28, 46, 65, 66, 67]
[28, 46, 66, 67, 68]
[32, 33, 34, 56, 61]
[33, 34, 56, 61, 63]
[36, 37, 40, 44, 46]
[36, 40, 42, 44, 46]
[43, 45, 46, 67, 68]
[45, 46, 66, 67, 68]
[4, 5, 9, 21, 26]
[6, 27, 28, 62, 63]
[6, 27, 56, 62, 63]
[6, 28, 43, 45, 46]
[6, 7, 27, 56, 62]
[6, 7, 27, 56, 63]
[6, 7, 27, 58, 63]
[6, 7, 27, 62, 63]
[6, 7, 56, 59, 63]
[6, 7, 56, 62, 63]
[6, 7, 58, 59, 63]
[7, 27, 56, 62, 63]
[7, 27, 62, 63, 64]
[7, 33, 34, 56, 63]
