 graph_name; #nodes; #edges; #cliques; time
league-be1-2016;16;120;8008;0.053906
moreno_seventh;29;250;634;0.027099
moreno_cattle;28;205;0;0.003237
brunson_club_membership;40;95;0;0.000315
brunson_south_africa;11;13;0;0.000203
moreno_sheep;28;235;69;0.013074
moreno_vdb;32;422;2667028;8.122504
league-uk1-2013;20;190;184756;0.644043
dolphins;62;159;0;0.000421
ucidata-zachary;34;78;0;0.000307
ucidata-gama;16;58;0;0.000225
moreno_highschool;70;274;0;0.000410
moreno_hens;32;496;0;120.000000
opsahl_southern_women;32;89;0;0.000441
league-fr1-2016;20;190;184756;0.657393
brunson_corporate_leadership;44;99;0;0.000336
mit;96;2539;0;120.000000
moreno_sampson;18;126;29;0.007077
moreno_les_miserables;77;254;2;0.002163
contiguous_usa;49;107;0;0.000648
league-de1-2016;18;153;43758;0.195248
moreno_bison;26;222;3207;0.048058
moreno_rhesus;16;69;0;0.000265
moreno_train;64;243;22;0.004168
brunson_southern_women;10;14;0;0.000207
moreno_taro;22;39;0;0.000224
moreno_zebra;27;111;8;0.003809
moreno_beach;43;336;0;0.005623
moreno_kangaroo;17;91;2;0.002311
moreno_macaques;62;1167;32168;0.970612
subelj_euroroad;1174;1417;0;0.002506
moreno_blogs_undirected;1224;16715;19484447;89.872831
arenas-email;1133;5451;66;0.018416
maayan_pdzbase;212;242;0;0.000658
radoslaw_email;167;3250;0;120.000000
unicodelang;868;1255;0;0.002685
maayan_foodweb_undirected;183;2434;49659;0.767992
sociopatterns_infectious;410;2765;14406;0.181387
moreno_oz;217;1839;3;0.013454
arenas_jazz;198;2742;30456581;81.722800
foodweb_baydry;253;2137;0;0.009479
foodweb_baywet_undirected;128;2075;0;0.040563
adjnoun_adjacency;112;425;0;0.000518
moreno_innovation;241;923;0;0.000954
sociopatterns_hypertext;113;2196;190340;2.504536
contact;274;2124;0;120.000000
brunson_revolution;141;160;0;0.000937
