 graph_name; #nodes; #edges; #cliques; time
league-be1-2016;16;120;1820;0.044474
moreno_seventh;29;250;2940;0.024009
moreno_cattle;28;205;1190;0.004385
brunson_club_membership;40;95;0;0.000831
brunson_south_africa;11;13;0;0.000221
moreno_sheep;28;235;2435;0.012996
moreno_vdb;32;422;18274;13.263598
league-uk1-2013;20;190;4845;0.747305
dolphins;62;159;27;0.001178
ucidata-zachary;34;78;11;0.000649
ucidata-gama;16;58;28;0.000640
moreno_highschool;70;274;154;0.002062
moreno_hens;32;496;0;120.000000
opsahl_southern_women;32;89;0;0.000755
league-fr1-2016;20;190;4845;0.768240
brunson_corporate_leadership;44;99;0;0.000728
mit;96;2539;0;120.000000
moreno_sampson;18;126;1132;0.006260
moreno_les_miserables;77;254;639;0.003299
contiguous_usa;49;107;0;0.000872
league-de1-2016;18;153;3060;0.186445
moreno_bison;26;222;3004;0.037892
moreno_rhesus;16;69;128;0.000850
moreno_train;64;243;897;0.005065
brunson_southern_women;10;14;0;0.000203
moreno_taro;22;39;0;0.000535
moreno_zebra;27;111;661;0.003609
moreno_beach;43;336;1950;0.008323
moreno_kangaroo;17;91;560;0.002715
moreno_macaques;62;1167;43826;0.811256
subelj_euroroad;1174;1417;0;0.002416
moreno_blogs_undirected;1224;16715;422327;94.433545
arenas-email;1133;5451;3419;0.044404
maayan_pdzbase;212;242;0;0.000837
radoslaw_email;167;3250;0;120.000000
unicodelang;868;1255;0;0.005326
maayan_foodweb_undirected;183;2434;35978;0.572552
sociopatterns_infectious;410;2765;14448;0.174225
moreno_oz;217;1839;3531;0.020131
arenas_jazz;198;2742;0;120.000000
foodweb_baydry;253;2137;0;0.011557
foodweb_baywet_undirected;128;2075;14126;0.051221
adjnoun_adjacency;112;425;58;0.002814
moreno_innovation;241;923;220;0.006139
sociopatterns_hypertext;113;2196;70199;1.890261
contact;274;2124;0;120.000000
brunson_revolution;141;160;0;0.000595
