 graph_name; #nodes; #edges; #cliques; time
league-be1-2016;16;120;1;0.000179
moreno_seventh;29;250;68;0.000725
moreno_cattle;28;205;111;0.000601
brunson_club_membership;40;95;95;0.000289
brunson_south_africa;11;13;13;0.000067
moreno_sheep;28;235;143;0.001063
moreno_vdb;32;422;41;0.000691
league-uk1-2013;20;190;1;0.000239
dolphins;62;159;84;0.000419
ucidata-zachary;34;78;36;0.000190
ucidata-gama;16;58;24;0.000163
moreno_highschool;70;274;101;0.000690
moreno_hens;32;496;1;0.000457
opsahl_southern_women;32;89;89;0.000261
league-fr1-2016;20;190;1;0.000235
brunson_corporate_leadership;44;99;99;0.000308
mit;96;2539;5124;0.053067
moreno_sampson;18;126;23;0.000248
moreno_les_miserables;77;254;59;0.000605
contiguous_usa;49;107;60;0.000390
league-de1-2016;18;153;1;0.000202
moreno_bison;26;222;41;0.000427
moreno_rhesus;16;69;25;0.000161
moreno_train;64;243;43;0.000437
brunson_southern_women;10;14;14;0.000067
moreno_taro;22;39;23;0.000133
moreno_zebra;27;111;19;0.000294
moreno_beach;43;336;100;0.000932
moreno_kangaroo;17;91;10;0.000134
moreno_macaques;62;1167;5628;0.031484
subelj_euroroad;1174;1417;1356;0.004691
moreno_blogs_undirected;1224;16715;49618;0.389102
arenas-email;1133;5451;3267;0.019058
maayan_pdzbase;212;242;240;0.000858
radoslaw_email;167;3250;7143;0.056619
unicodelang;868;1255;1255;0.004055
maayan_foodweb_undirected;183;2434;3130;0.013638
sociopatterns_infectious;410;2765;1247;0.011023
moreno_oz;217;1839;939;0.007068
arenas_jazz;198;2742;746;0.013963
foodweb_baydry;253;2137;2137;0.004730
foodweb_baywet_undirected;128;2075;3534;0.011503
adjnoun_adjacency;112;425;303;0.001000
moreno_innovation;241;923;494;0.002472
sociopatterns_hypertext;113;2196;5347;0.034770
contact;274;2124;246;0.005535
arenas_meta;453;2040;668;0.005551
brunson_revolution;141;160;160;0.000454
